incident_id,year,date_of_incident,route,borough,injury_result_description,incident_event_type,operator_id,bus_garage_id,victim_id
40,2015,2015-05-01,34,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,2
41,2015,2015-04-01,274,Camden,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,2
42,2015,2015-04-01,140,Ealing,"Injuries treated on scene","Onboard Injuries",2,1,2
43,2015,2015-04-01,120,Hounslow,"Injuries treated on scene","Onboard Injuries",5,1,2
44,2015,2015-01-01,158,"Waltham Forest","Injuries treated on scene","Onboard Injuries",4,1,2
45,2015,2015-01-01,148,Southwark,"Injuries treated on scene","Onboard Injuries",5,1,2
46,2015,2015-04-01,12,Southwark,"Injuries treated on scene","Onboard Injuries",8,1,2
47,2015,2015-01-01,390,Westminster,"Injuries treated on scene","Onboard Injuries",2,1,2
48,2015,2015-01-01,262,Newham,"Injuries treated on scene","Onboard Injuries",4,1,2
49,2015,2015-01-01,61,Bromley,"Injuries treated on scene","Onboard Injuries",4,1,2
50,2015,2015-01-01,51,Bexley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",4,1,2
51,2015,2015-01-01,25,"City of London","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",7,1,2
52,2015,2015-01-01,45,Lambeth,"Injuries treated on scene","Onboard Injuries",8,1,2
53,2015,2015-01-01,4,Islington,"Injuries treated on scene","Onboard Injuries",2,1,2
54,2015,2015-05-01,R68,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",13,1,3
55,2015,2015-05-01,358,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,3
56,2015,2015-05-01,267,Hounslow,"Injuries treated on scene","Onboard Injuries",5,1,3
57,2015,2015-04-01,27,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",5,1,3
58,2015,2015-05-01,87,Wandsworth,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,3
59,2015,2015-04-01,H9,Harrow,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",20,1,3
60,2015,2015-04-01,G1,Wandsworth,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,3
61,2015,2015-04-01,E7,Hillingdon,"Injuries treated on scene","Onboard Injuries",9,1,3
62,2015,2015-04-01,267,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",5,1,3
63,2015,2015-04-01,316,Brent,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",2,1,3
64,2015,2015-04-01,283,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",5,1,3
65,2015,2015-04-01,86,Redbridge,"Injuries treated on scene","Onboard Injuries",4,1,3
66,2015,2015-04-01,187,Brent,"Injuries treated on scene","Onboard Injuries",9,1,3
67,2015,2015-04-01,71,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,3
68,2015,2015-04-01,65,"Richmond Upon Thames","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",5,1,3
69,2015,2015-04-01,18,Westminster,"Injuries treated on scene","Onboard Injuries",9,1,3
70,2015,2015-04-01,18,Brent,"Reported Minor Injury - Treated at Hospital",Assault,9,1,3
71,2015,2015-01-01,320,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,3
72,2015,2015-04-01,11,Westminster,"Injuries treated on scene","Onboard Injuries",1,1,3
73,2015,2015-01-01,D3,"Tower Hamlets","Injuries treated on scene","Onboard Injuries",4,1,3
74,2015,2015-01-01,140,Ealing,"Injuries treated on scene","Onboard Injuries",2,1,3
75,2015,2015-01-01,282,Hillingdon,"Injuries treated on scene","Onboard Injuries",9,1,3
76,2015,2015-01-01,W9,Enfield,"Injuries treated on scene","Onboard Injuries",2,1,3
77,2015,2015-01-01,W8,Enfield,"Injuries treated on scene","Onboard Injuries",2,1,3
78,2015,2015-01-01,371,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",5,1,3
79,2015,2015-01-01,371,"Kingston upon Thames","Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,3
80,2015,2015-01-01,246,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",4,1,3
81,2015,2015-01-01,63,"City of London","Injuries treated on scene","Onboard Injuries",11,1,3
82,2015,2015-01-01,27,"Kensington & Chelsea","Injuries treated on scene","Onboard Injuries",5,1,3
83,2015,2015-01-01,47,Lewisham,"Injuries treated on scene","Onboard Injuries",4,1,3
84,2015,2015-01-01,24,Westminster,"Injuries treated on scene","Onboard Injuries",2,1,3
85,2015,2015-01-01,24,Camden,"Injuries treated on scene","Onboard Injuries",2,1,3
86,2015,2015-01-01,12,Southwark,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",8,1,3
87,2015,2015-01-01,5,"None London Borough","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,3
88,2015,2015-01-01,5,Havering,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,3
89,2015,2015-05-01,281,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",5,1,4
90,2015,2015-04-01,185,Westminster,"Injuries treated on scene","Collision Incident",8,1,4
91,2015,2015-01-01,93,Merton,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",1,1,4
92,2015,2015-01-01,31,Brent,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",7,1,4
93,2015,2015-01-01,6,Westminster,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,4
94,2015,2015-06-01,24,Camden,"Injuries treated on scene","Onboard Injuries",2,1,5
95,2015,2015-05-01,R2,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,5
96,2015,2015-05-01,372,Havering,"Injuries treated on scene","Onboard Injuries",3,1,5
97,2015,2015-05-01,281,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,5
98,2015,2015-05-01,358,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,5
99,2015,2015-05-01,336,Bromley,"Injuries treated on scene","Onboard Injuries",11,1,5
100,2015,2015-05-01,324,Brent,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",20,1,5
101,2015,2015-05-01,205,Camden,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",3,1,5
102,2015,2015-05-01,62,"Barking & Dagenham","Injuries treated on scene","Onboard Injuries",3,1,5
103,2015,2015-05-01,201,Lambeth,"Injuries treated on scene","Onboard Injuries",10,1,5
104,2015,2015-05-01,196,Southwark,"Injuries treated on scene","Onboard Injuries",1,1,5
105,2015,2015-04-01,33,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",5,1,5
106,2015,2015-05-01,190,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",2,1,5
107,2015,2015-05-01,248,Havering,"Injuries treated on scene","Onboard Injuries",3,1,5
108,2015,2015-04-01,28,"Hammersmith & Fulham","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",7,1,5
109,2015,2015-05-01,213,Merton,"Injuries treated on scene","Onboard Injuries",1,1,5
110,2015,2015-05-01,183,Barnet,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",20,1,5
111,2015,2015-05-01,177,Greenwich,"Injuries treated on scene","Onboard Injuries",3,1,5
112,2015,2015-04-01,23,Westminster,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",7,1,5
113,2015,2015-05-01,134,Camden,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,5
114,2015,2015-05-01,49,"Kensington & Chelsea","Reported Minor Injury - Treated at Hospital","Onboard Injuries",10,1,5
115,2015,2015-05-01,93,Merton,"Injuries treated on scene","Onboard Injuries",1,1,5
116,2015,2015-05-01,5,"Barking & Dagenham","Injuries treated on scene","Onboard Injuries",3,1,5
117,2015,2015-05-01,25,"Tower Hamlets","Reported Minor Injury - Treated at Hospital","Collision Incident",7,1,5
118,2015,2015-05-01,21,Lewisham,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",11,1,5
119,2015,2015-04-01,486,Greenwich,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",8,1,5
120,2015,2015-04-01,473,Newham,"Injuries treated on scene","Onboard Injuries",3,1,5
121,2015,2015-04-01,U1,Hillingdon,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",9,1,5
122,2015,2015-04-01,R9,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,5
123,2015,2015-04-01,460,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,5
124,2015,2015-04-01,275,Redbridge,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,5
125,2015,2015-04-01,270,Merton,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",1,1,5
126,2015,2015-04-01,K2,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,5
127,2015,2015-04-01,K1,"Kingston upon Thames","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",13,1,5
128,2015,2015-04-01,H37,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",5,1,5
129,2015,2015-04-01,E6,Hillingdon,"Injuries treated on scene","Onboard Injuries",2,1,5
130,2015,2015-04-01,B13,Bexley,"Injuries treated on scene","Onboard Injuries",15,1,5
131,2015,2015-04-01,B12,Bexley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",15,1,5
132,2015,2015-04-01,391,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",5,1,5
133,2015,2015-04-01,267,Hounslow,"Injuries treated on scene","Onboard Injuries",5,1,5
134,2015,2015-04-01,263,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,5
135,2015,2015-04-01,260,Brent,"Injuries treated on scene","Onboard Injuries",2,1,5
136,2015,2015-04-01,371,"Richmond Upon Thames","Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,5
137,2015,2015-04-01,371,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,5
138,2015,2015-04-01,365,Havering,"Injuries treated on scene","Collision Incident",3,1,5
139,2015,2015-04-01,352,Lewisham,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,5
140,2015,2015-04-01,320,Bromley,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,5
141,2015,2015-04-01,284,Lewisham,"Injuries treated on scene","Onboard Injuries",11,1,5
142,2015,2015-04-01,89,Lewisham,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",8,1,5
143,2015,2015-04-01,196,Lambeth,"Injuries treated on scene","Onboard Injuries",1,1,5
144,2015,2015-04-01,154,Sutton,"Injuries treated on scene","Onboard Injuries",1,1,5
145,2015,2015-04-01,139,Lambeth,"Injuries treated on scene","Onboard Injuries",2,1,5
146,2015,2015-04-01,65,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,5
147,2015,2015-04-01,127,Merton,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",11,1,5
148,2015,2015-04-01,125,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,5
149,2015,2015-04-01,18,Brent,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",9,1,5
150,2015,2015-04-01,119,Bromley,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",11,1,5
151,2015,2015-04-01,95,Ealing,"Injuries treated on scene","Onboard Injuries",9,1,5
152,2015,2015-04-01,51,Bexley,"Injuries treated on scene","Onboard Injuries",3,1,5
153,2015,2015-04-01,48,"City of London","Injuries treated on scene","Onboard Injuries",3,1,5
154,2015,2015-01-01,343,Lewisham,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",10,1,5
155,2015,2015-01-01,160,Greenwich,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",15,1,5
156,2015,2015-01-01,325,"Barking & Dagenham","Reported Minor Injury - Treated at Hospital","Onboard Injuries",6,1,5
157,2015,2015-01-01,151,Sutton,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,5
158,2015,2015-01-01,E9,Ealing,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",9,1,5
159,2015,2015-04-01,15,"Tower Hamlets","Injuries treated on scene","Onboard Injuries",3,1,5
160,2015,2015-01-01,E3,Ealing,"Injuries treated on scene","Onboard Injuries",5,1,5
161,2015,2015-01-01,E11,Ealing,"Injuries treated on scene","Onboard Injuries",5,1,5
162,2015,2015-01-01,B12,Bexley,"Injuries treated on scene","Onboard Injuries",15,1,5
163,2015,2015-01-01,W8,Enfield,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,5
164,2015,2015-01-01,111,Hounslow,"Injuries treated on scene","Onboard Injuries",5,1,5
165,2015,2015-01-01,W14,Hackney,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",7,1,5
166,2015,2015-01-01,428,Bexley,"Injuries treated on scene","Onboard Injuries",15,1,5
167,2015,2015-01-01,K2,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,5
168,2015,2015-01-01,260,Brent,"Injuries treated on scene","Onboard Injuries",2,1,5
169,2015,2015-01-01,96,"None London Borough","Injuries treated on scene","Onboard Injuries",4,1,5
170,2015,2015-01-01,95,Ealing,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",9,1,5
171,2015,2015-01-01,90,Hillingdon,"Injuries treated on scene","Onboard Injuries",2,1,5
172,2015,2015-01-01,213,"Kingston upon Thames","Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,5
173,2015,2015-01-01,27,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",5,1,5
174,2015,2015-01-01,27,Westminster,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,5
175,2015,2015-01-01,10,Westminster,"Injuries treated on scene","Onboard Injuries",5,1,5
176,2015,2015-01-01,6,Westminster,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",2,1,5
177,2015,2015-05-01,S1,Merton,"Injuries treated on scene","Onboard Injuries",16,1,6
178,2015,2015-05-01,R70,"Richmond Upon Thames","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",13,1,6
179,2015,2015-05-01,281,"Richmond Upon Thames","Injuries treated on scene",Assault,5,1,6
180,2015,2015-05-01,281,"Kingston upon Thames","Injuries treated on scene",Assault,5,1,6
181,2015,2015-05-01,208,Bromley,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",3,1,6
182,2015,2015-05-01,356,Lewisham,"Injuries treated on scene","Onboard Injuries",3,1,6
183,2015,2015-05-01,N8,Redbridge,"Injuries treated on scene","Onboard Injuries",3,1,6
184,2015,2015-05-01,207,Ealing,"Injuries treated on scene","Onboard Injuries",9,1,6
185,2015,2015-05-01,332,Brent,"Injuries treated on scene","Onboard Injuries",2,1,6
186,2015,2015-05-01,205,Camden,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,6
187,2015,2015-05-01,63,Camden,"Injuries treated on scene","Onboard Injuries",11,1,6
188,2015,2015-05-01,262,Newham,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",3,1,6
189,2015,2015-05-01,234,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,6
190,2015,2015-05-01,131,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,6
191,2015,2015-05-01,125,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,6
192,2015,2015-05-01,174,Havering,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,6
193,2015,2015-05-01,174,"Barking & Dagenham","Injuries treated on scene","Onboard Injuries",3,1,6
194,2015,2015-05-01,122,Lewisham,"Injuries treated on scene","Onboard Injuries",3,1,6
195,2015,2015-05-01,165,Havering,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,6
196,2015,2015-05-01,57,Wandsworth,"Injuries treated on scene","Onboard Injuries",5,1,6
197,2015,2015-05-01,57,Merton,"Injuries treated on scene","Onboard Injuries",5,1,6
198,2015,2015-05-01,140,Harrow,"Injuries treated on scene","Onboard Injuries",2,1,6
199,2015,2015-05-01,55,Islington,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Safety Critical Failure",3,1,6
200,2015,2015-05-01,10,"Kensington & Chelsea","Injuries treated on scene","Onboard Injuries",5,1,6
201,2015,2015-05-01,6,Westminster,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,6
202,2015,2015-05-01,43,Islington,"Injuries treated on scene","Onboard Injuries",2,1,6
203,2015,2015-05-01,82,Westminster,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,6
204,2015,2015-05-01,65,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",5,1,6
205,2015,2015-05-01,32,Camden,"Injuries treated on scene","Onboard Injuries",2,1,6
206,2015,2015-05-01,25,"City of London","Reported Minor Injury - Treated at Hospital","Onboard Injuries",7,1,6
207,2015,2015-05-01,24,Camden,"Injuries treated on scene","Onboard Injuries",2,1,6
208,2015,2015-05-01,65,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,6
209,2015,2015-05-01,65,Ealing,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown",Assault,5,1,6
210,2015,2015-05-01,10,Westminster,"Injuries treated on scene","Onboard Injuries",5,1,6
211,2015,2015-04-01,281,"Kingston upon Thames","Injuries treated on scene","Collision Incident",5,1,6
212,2015,2015-04-01,491,Enfield,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,6
213,2015,2015-04-01,491,Enfield,"Injuries treated on scene","Onboard Injuries",1,1,6
214,2015,2015-04-01,P12,Southwark,"Injuries treated on scene","Onboard Injuries",11,1,6
215,2015,2015-04-01,OOS,Greenwich,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,6
216,2015,2015-04-01,405,"None London Borough","Injuries treated on scene","Onboard Injuries",11,1,6
217,2015,2015-04-01,N19,"Kensington & Chelsea","Injuries treated on scene","Onboard Injuries",1,1,6
218,2015,2015-04-01,E8,Ealing,"Injuries treated on scene","Onboard Injuries",2,1,6
219,2015,2015-04-01,C11,Islington,"Injuries treated on scene","Onboard Injuries",2,1,6
220,2015,2015-04-01,380,Lewisham,"Injuries treated on scene","Collision Incident",3,1,6
221,2015,2015-04-01,355,Lambeth,"Injuries treated on scene","Onboard Injuries",8,1,6
222,2015,2015-04-01,237,Hounslow,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",2,1,6
223,2015,2015-04-01,237,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",2,1,6
224,2015,2015-04-01,282,Ealing,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",9,1,6
225,2015,2015-04-01,217,"None London Borough","Injuries treated on scene","Onboard Injuries",2,1,6
226,2015,2015-04-01,213,Sutton,"Injuries treated on scene","Onboard Injuries",1,1,6
227,2015,2015-04-01,175,"Barking & Dagenham","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",4,1,6
228,2015,2015-04-01,200,Merton,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,6
229,2015,2015-04-01,82,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,6
230,2015,2015-04-01,189,Barnet,"Reported Minor Injury - Treated at Hospital","Collision Incident",2,1,6
231,2015,2015-04-01,161,Greenwich,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",11,1,6
232,2015,2015-04-01,75,Lewisham,"Reported Minor Injury - Treated at Hospital",Assault,3,1,6
233,2015,2015-04-01,158,"Waltham Forest","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Collision Incident",3,1,6
234,2015,2015-04-01,130,Croydon,"Reported Minor Injury - Treated at Hospital","Collision Incident",11,1,6
235,2015,2015-01-01,185,Westminster,"Injuries treated on scene","Onboard Injuries",8,1,6
236,2015,2015-04-01,103,Havering,"Injuries treated on scene","Onboard Injuries",3,1,6
237,2015,2015-04-01,99,Greenwich,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",3,1,6
238,2015,2015-04-01,55,Hackney,"Injuries treated on scene","Onboard Injuries",3,1,6
239,2015,2015-04-01,53,Lewisham,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",3,1,6
240,2015,2015-04-01,45,"City of London","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",8,1,6
241,2015,2015-04-01,43,Islington,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,6
242,2015,2015-04-01,37,Wandsworth,"Injuries treated on scene","Onboard Injuries",11,1,6
243,2015,2015-01-01,177,Lewisham,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",4,1,6
244,2015,2015-01-01,161,Greenwich,"Injuries treated on scene","Onboard Injuries",11,1,6
245,2015,2015-01-01,160,Greenwich,"Injuries treated on scene",Assault,15,1,6
246,2015,2015-01-01,154,Merton,"Injuries treated on scene","Onboard Injuries",1,1,6
247,2015,2015-01-01,E8,Ealing,"Injuries treated on scene","Onboard Injuries",2,1,6
248,2015,2015-01-01,E5,Ealing,"Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",9,1,6
249,2015,2015-01-01,E11,Ealing,"Injuries treated on scene","Onboard Injuries",5,1,6
250,2015,2015-01-01,284,Lewisham,"Injuries treated on scene","Onboard Injuries",11,1,6
251,2015,2015-01-01,134,Westminster,"Injuries treated on scene","Onboard Injuries",2,1,6
252,2015,2015-01-01,131,Wandsworth,"Injuries treated on scene","Onboard Injuries",5,1,6
253,2015,2015-01-01,280,Sutton,"Injuries treated on scene","Onboard Injuries",1,1,6
254,2015,2015-01-01,118,Merton,"Injuries treated on scene","Collision Incident",1,1,6
255,2015,2015-01-01,453,Southwark,"Injuries treated on scene","Onboard Injuries",1,1,6
256,2015,2015-01-01,111,Hounslow,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,6
257,2015,2015-01-01,267,"Richmond Upon Thames","Injuries treated on scene","Onboard Injuries",5,1,6
258,2015,2015-01-01,263,Islington,"Injuries treated on scene","Onboard Injuries",2,1,6
259,2015,2015-01-01,263,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,6
260,2015,2015-01-01,N15,Havering,"Injuries treated on scene","Onboard Injuries",4,1,6
261,2015,2015-01-01,111,Hounslow,"Injuries treated on scene","Safety Critical Failure",5,1,6
262,2015,2015-01-01,355,Wandsworth,"Injuries treated on scene","Onboard Injuries",8,1,6
263,2015,2015-01-01,220,"Hammersmith & Fulham","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",5,1,6
264,2015,2015-01-01,79,Brent,"Reported Minor Injury - Treated at Hospital","Collision Incident",2,1,6
265,2015,2015-01-01,77,Wandsworth,"Injuries treated on scene","Onboard Injuries",1,1,6
266,2015,2015-01-01,68,Southwark,"Injuries treated on scene","Onboard Injuries",8,1,6
267,2015,2015-01-01,57,Merton,"Injuries treated on scene","Onboard Injuries",5,1,6
268,2015,2015-01-01,52,Brent,"Injuries treated on scene","Onboard Injuries",2,1,6
269,2015,2015-01-01,24,Westminster,"Injuries treated on scene","Onboard Injuries",2,1,6
270,2015,2015-01-01,8,"City of London","Injuries treated on scene","Onboard Injuries",4,1,6
271,2015,2015-04-01,24,Camden,"Injuries treated on scene","Onboard Injuries",2,1,7
